"PLANYEAR","CABLE_ID","CABLE_SIZE","RATING","MATERIAL","CONSTRUCTION","INSUL_MATERIAL","INSUL_CONST","USAMP_ID","SCE_MATCODE","COND_DIAM_DC","THICK_SHLD_TCS","THICK_INSUL_TIN","THICK_INSUL_SHLD_TCS","THICK_JACKET_TJ","COND_DCRES_RDC","SHLD_DIAM_D","SHLD_WIRES_N","LAY_FACTOR_LF","SKIN_EFFECT_KS","PROX_EFFECT_KP","CABLE_COUNT_N","THERM_RES_INSUL_PI","THERM_RES_JACKET_PJ","INSUL_SIC_ER","DISSIP_FACTOR_COS","SHIELD_TEMP_TS","QS_CONSTANT_A","COND_SPACE_S","INSERT_TS","INSERT_USER_ID","MODIFIED_TS","MODIFIED_USER_ID","DELETED_TS","DELETED_USER_ID","SAP_NUM","CRITERIA_TEMP"
2025,1,"2 MCM","17 KV",CU,Csect,Paper,Belted,"2301","591-18406",0.095,0.01,0.17,0.005,0.0,162.0,0.11,1.0,1.04,1.0,0.6,1.0,600.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,62,"",80.0
2025,2,"350 MCM","17 KV",CU,Csect,Paper,Belted,"2303","591-19503",0.532,0.01,0.22,0.005,0.0,38.5,0.11,1.0,1.04,1.0,0.6,1.0,600.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,180,,,"",80.0
2025,3,"500 MCM","17 KV",CU,CSect,Paper,Belted,"2304","591-19602",0.63,0.01,0.24,0.005,0.0,21.6,0.11,1.0,1.04,1.0,0.6,1.0,600.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",80.0
2025,4,"500 MCM","15 KV",CU,CSect,Paper,Shlded,"3205","590-88609",0.64,0.01,0.18,0.005,0.0,21.6,0.11,15.0,1.04,1.0,0.6,1.0,600.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",80.0
2025,5,"750 MCM","12 KV",CU,CSect,Paper,Shlded,"3206","590-8900",0.78,0.01,0.18,0.005,0.0,14.4,0.11,15.0,1.04,1.0,0.6,1.0,600.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",80.0
2025,6,"4/0 MCM","17 KV",CU,CSect,Paper,Shlded,"3302","591-19008",0.512,0.012,0.24,0.005,0.0,50.9,0.11,15.0,1.04,1.0,0.6,1.0,600.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",80.0
2025,7,"2 MCM","15 KV",AL,Compr,XLPE,Shlded,"4202","592-89108",0.283,0.012,0.22,0.055,0.0,266.0,0.11,10.0,1.04,1.0,0.5,1.0,360.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",90.0
2025,8,"1/0 MCM","15 KV",AL,Compr,XLPE,Shlded,"4203","592-89405",0.362,0.012,0.22,0.055,0.0,168.0,0.11,16.0,1.04,1.0,0.5,1.0,360.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",90.0
2025,9,"350 MCM","15 KV",AL,Compr,XLPE,Shlded,"4204","592-00030",0.661,0.016,0.22,0.075,0.0,50.5,0.11,13.0,1.04,1.0,0.5,1.0,360.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",90.0
2025,10,"750 MCM","15 KV",AL,Compr,XLPE,Shlded,"4205","592-87714",0.96,0.02,0.22,0.065,0.0,23.6,0.1,15.0,1.04,1.0,0.8,1.0,350.0,350.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",90.0
2025,11,"1000 MCM","15 KV",AL,Compr,XLPE,Shlded,"4206","592-87722",1.15,0.02,0.22,0.08,0.0,17.7,0.11,15.0,1.04,1.0,0.5,1.0,350.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",90.0
2025,12,"1000 MCM","15 KV",CU,Compr,XLPE,Shlded,"4207","592-00022",1.117,0.02,0.22,0.08,0.0,10.8,0.11,15.0,1.04,1.0,1.0,1.0,400.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",90.0
2025,13,"750 MCM","35 KV",AL,Compr,XLPE,Shlded,"4501","592-04636",0.968,0.02,0.42,0.05,0.0,23.6,0.1,15.0,1.04,1.0,0.8,1.0,350.0,350.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",90.0
2025,14,"1500 MCM","35 KV",AL,Compr,XLPE,Shlded,"4502","592-04628",1.37,0.024,0.35,0.1,0.0,11.8,0.11,19.0,1.04,1.0,0.5,1.0,350.0,500.0,2.8,0.004,78.5,17.0,7.5,,,,561,,,"",90.0
2025,16,Comm,"5 V",FIBEROPTIC,"","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,"",
2025,23,"1250 CLP","12/16kV",AL,Compact,XLPE,Shlded,"",N/A,1.19304,0.037,0.22,0.06525,0.077,14.1,,17.0,1.07,1.0,0.8,1.0,350.0,350.0,2.5,,78.5,17.0,7.5,,,,561,,,N/A,90.0
2025,26,"1/0 EPR","12/16kV",CU,Compact,EPR,Shlded,"","592-00196",0.336,0.032,0.27,0.035,0.08,100.21,0.1,1.0,1.0,1.0,1.0,1.0,476.0,500.0,3.0,0.0,78.5,17.0,7.5,,,,561,,,"",90.0
